album,track_views,is_demo,featuring,number_of_verses,number_of_chorus,# Of Words,Average Sentence Length,Positive Sentiment,Neutral Sentiment,Negative Sentiment,lexical diversity,Release_Year
room for improvement,23868.42105263158,0.0,0.2608695652173913,1.9130434782608696,0.34782608695652173,536.304347826087,2560.608695652174,0.12365217391304348,0.7948695652173913,0.08147826086956521,0.018595999627416388,2006
drake demo disk,39150.0,0.0,0.0,3.0,0.0,827.5,3880.0,0.0805,0.8260000000000001,0.0935,0.007070902158324936,2006
comeback season,39417.391304347824,0.0,0.5,2.125,0.7083333333333334,566.6666666666666,2692.375,0.13633333333333333,0.7514583333333335,0.11229166666666669,0.01653677658735198,2007
so far gone (ep),434714.28571428574,0.0,0.42857142857142855,3.2857142857142856,3.142857142857143,724.4285714285714,3371.1428571428573,0.16342857142857142,0.7335714285714285,0.103,0.008625913054599798,2009
so far gone,269600.0,0.0,0.5,2.5555555555555554,2.2777777777777777,511.1111111111111,2385.5,0.1476111111111111,0.7640555555555557,0.08827777777777777,0.030799065405344397,2009
thank me later,450106.6666666667,0.0,0.4666666666666667,2.466666666666667,2.8,617.5333333333333,2941.9333333333334,0.16293333333333332,0.7364,0.1006,0.011567982358668672,2010
take care,1511381.8181818181,0.0,0.45454545454545453,2.3181818181818183,2.1818181818181817,585.0454545454545,2758.681818181818,0.14277272727272725,0.7195454545454545,0.1378181818181818,0.010336994128389142,2011
nothing was the same,2486806.25,0.0,0.4375,2.4375,2.5,631.8125,3037.5625,0.1140625,0.7601249999999999,0.12556250000000002,0.01006665496227056,2013
if you’re reading this it’s too late,1479215.7894736843,0.0,0.21052631578947367,2.210526315789474,2.4210526315789473,538.3684210526316,2503.7368421052633,0.12063157894736844,0.761263157894737,0.11810526315789475,0.01220223566018222,2015
views,1820215.0,0.0,0.3,2.35,2.4,494.8,2319.4,0.15739999999999998,0.7586999999999999,0.08390000000000002,0.01485071915243146,2016
more life,1122295.652173913,0.0,0.4782608695652174,2.391304347826087,2.5217391304347827,432.0869565217391,2063.2608695652175,0.14939130434782613,0.756391304347826,0.09452173913043478,0.018217666970153222,2017
scorpion,1409792.0,0.0,0.08,1.88,2.72,464.12,2178.6,0.14071999999999998,0.7482800000000001,0.11111999999999997,0.013537203891314664,2018
scary hours,4749750.0,0.0,0.0,1.5,2.0,500.5,2465.5,0.1725,0.7015,0.126,0.014324001841151365,2018
the best in the world pack,878650.0,0.0,0.5,2.5,1.0,597.0,2944.5,0.111,0.7655000000000001,0.1235,0.009561907686755031,2019
care package,925400.0,0.0,0.29411764705882354,1.9411764705882353,1.9411764705882353,567.3529411764706,2657.0,0.13894117647058823,0.7419411764705881,0.11917647058823531,0.010898625301629116,2019
dark lane demo tapes,545350.0,0.07142857142857142,0.35714285714285715,2.2857142857142856,2.857142857142857,535.1428571428571,2581.5,0.1495,0.7472857142857142,0.10314285714285713,0.011224453707078566,2020
certified lover boy,157233.33333333334,0.0,0.3333333333333333,1.7777777777777777,2.111111111111111,369.8888888888889,1738.888888888889,0.13433333333333333,0.7456666666666667,0.11977777777777779,0.04009804421421627,2021
